name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",4/02/2024,21.7,8.9,16.5,21.7,8,16.4,9,62.6,0,0,0,,0,0,41.4,40.7,258.1,1010.7,1.7,17.9,348.7,30.1,10,10,2024-02-04T06:35:36,2024-02-04T20:45:11,0.8,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",5/02/2024,24.7,16.7,19.9,24.7,16.7,19.9,12.3,62.3,0,0,0,,0,0,49,33.5,237.9,1018.1,0.6,19.2,341.6,29.5,10,10,2024-02-05T06:36:53,2024-02-05T20:44:05,0.84,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",6/02/2024,23.4,14.2,18.9,23.4,14.2,18.9,15.7,82.1,0,0,0,,0,0,12.6,22.3,355.9,1017.2,22.5,13.3,346.4,30,10,10,2024-02-06T06:38:10,2024-02-06T20:42:58,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",7/02/2024,23.9,14.6,19,23.9,14.6,19,15.1,79,0,0,0,,0,0,29.2,29.5,9.5,1015.7,36.7,13,343.4,29.9,10,10,2024-02-07T06:39:27,2024-02-07T20:41:49,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",8/02/2024,23.2,15.9,19.5,23.2,15.9,19.5,16.2,81.3,0,0,0,,0,0,19.4,16.6,348.8,1016.3,64.7,13.5,314,27.2,9,10,2024-02-08T06:40:44,2024-02-08T20:40:39,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",9/02/2024,22.4,16.7,20.2,22.4,16.7,20.2,12,60.4,0,0,0,,0,0,14.4,24.1,34.9,1020.4,37,18.3,317.5,27.4,10,10,2024-02-09T06:42:00,2024-02-09T20:39:27,0.97,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",10/02/2024,23.7,13.2,17.8,23.7,13.2,17.8,11.5,69.1,0,0,0,,0,0,40,33.5,262.8,1011.5,30.4,18.5,329,28.5,10,10,2024-02-10T06:43:17,2024-02-10T20:38:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",11/02/2024,19.2,12.4,16.2,19.2,12.4,16.2,7.5,56.9,0,0,0,rain,0,0,41.8,37.1,340.3,1016.2,36.2,20,311.2,26.8,10,10,2024-02-11T06:44:33,2024-02-11T20:37:00,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",12/02/2024,20.4,12.1,17,20.4,12.1,17,11.3,69.7,0,0,0,rain,0,0,18.4,29.5,12.6,1021.9,63.3,18.8,316.4,27.5,10,10,2024-02-12T06:45:50,2024-02-12T20:35:44,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",13/02/2024,20.4,12.9,16.9,20.4,12.9,16.9,12.8,77.3,0,0,0,,0,0,13,22.3,341.9,1022.7,17.1,17.5,327.5,28.2,10,10,2024-02-13T06:47:06,2024-02-13T20:34:26,0.1,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",14/02/2024,21.1,14.9,17.8,21.1,14.9,17.8,13.4,76,0,0,0,,0,0,23,31.7,43.2,1022,1.6,17.1,325.9,28.1,10,10,2024-02-14T06:48:22,2024-02-14T20:33:08,0.14,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",15/02/2024,24.9,12.6,19.3,24.9,12.6,19.3,11.1,59.4,0,0,0,,0,0,29.2,31.7,279.2,1021.9,40.1,19.6,318.1,27.6,10,10,2024-02-15T06:49:37,2024-02-15T20:31:48,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",16/02/2024,22.1,13.7,19.1,22.1,13.7,19.1,14.4,74.4,0,0,0,,0,0,26.3,31.7,36.6,1024.8,15,19.1,313.6,27,9,10,2024-02-16T06:50:53,2024-02-16T20:30:27,0.21,Clear,Clear conditions throughout the day.,clear-day,"93546099999,remote"
"Nelson, NSN, NZ",17/02/2024,23.2,17.7,20,23.2,17.7,20,15.9,77.7,0,0,0,,0,0,22,42.5,18,1023.2,49.9,16.3,298.7,25.9,9,10,2024-02-17T06:52:08,2024-02-17T20:29:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",18/02/2024,21.7,14.4,18.1,21.7,14.4,18.1,14.1,78.2,0,0,0,,0,0,17.6,24.1,6.4,1018.6,56.8,15.4,306,26.5,10,10,2024-02-18T06:53:22,2024-02-18T20:27:42,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",19/02/2024,25.7,15.6,20.5,25.7,15.6,20.5,11.9,58.4,0,0,0,rain,0,0,33.5,29.5,313.2,1010.7,53.4,19.2,183.8,15.9,6,10,2024-02-19T06:54:37,2024-02-19T20:26:17,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",20/02/2024,20.9,16.2,18.2,20.9,16.2,18.2,9,55.7,0,0,0,rain,0,0,29.2,35.3,333.6,1015.9,43.6,18.3,275.4,23.7,9,10,2024-02-20T06:55:51,2024-02-20T20:24:52,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",21/02/2024,20.4,13.7,17.4,20.4,13.7,17.4,11.3,67.8,0,0,0,,0,0,10.8,20.5,7.9,1024.3,56,17.5,285.4,24.5,9,10,2024-02-21T06:57:05,2024-02-21T20:23:25,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",22/02/2024,20.9,11.4,16.9,20.9,11.4,16.9,12.2,74.1,0,0,0,,0,0,16.2,24.1,16.6,1025.5,62.2,17.5,249.4,21.7,9,10,2024-02-22T06:58:18,2024-02-22T20:21:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",23/02/2024,22.4,15.4,18.9,22.4,15.4,18.9,13.6,72,0,0,0,,0,0,16.9,27.7,22,1019.9,48.3,18.3,300.3,26.1,9,10,2024-02-23T06:59:32,2024-02-23T20:20:30,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",24/02/2024,22.6,11.9,17.8,22.6,11.9,17.8,14.7,83,0,0,0,rain,0,0,41,51.8,7.3,1013.5,59.7,14.9,238.4,20.6,9,10,2024-02-24T07:00:45,2024-02-24T20:19:00,0.48,Partially cloudy,Partly cloudy throughout the day.,wind,93546099999
"Nelson, NSN, NZ",25/02/2024,21.4,15.7,19.6,21.4,15.7,19.6,14.7,74.1,0,0,0,rain,0,0,35.6,31.7,348.8,1010,29.2,15.6,288.8,25.1,9,10,2024-02-25T07:01:57,2024-02-25T20:17:30,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",26/02/2024,20.7,15.7,18.2,20.7,15.7,18.2,14.5,79.5,0,0,0,,0,0,18.7,27.7,49.2,1010.4,88.4,15.4,272.9,23.5,9,10,2024-02-26T07:03:09,2024-02-26T20:15:59,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",27/02/2024,20.2,12.6,17.3,20.2,12.6,17.3,12,71.5,0,0,0,,0,0,16.6,16.6,23.7,1005.7,28.3,18.3,288.3,24.8,9,10,2024-02-27T07:04:21,2024-02-27T20:14:28,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",28/02/2024,21.4,14.2,18.3,21.4,14.2,18.3,14.8,80.2,0.8,100,8.33,rain,0,0,24.8,31.7,19.4,1013.3,58.1,19.2,171.8,14.8,8,10,2024-02-28T07:05:33,2024-02-28T20:12:55,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,93546099999
"Nelson, NSN, NZ",29/02/2024,21.2,15.2,18.2,21.2,15.2,18.2,13.4,74,0,0,0,,0,0,20.2,24.1,19.4,1019.2,20.7,19.3,285.3,24.6,9,10,2024-02-29T07:06:44,2024-02-29T20:11:22,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",1/03/2024,21.2,12.7,17.5,21.2,12.7,17.5,13.7,78.6,0,0,0,,0,0,12.6,24.1,12.5,1014.1,21.9,19.2,282.5,24.3,9,10,2024-03-01T07:07:55,2024-03-01T20:09:48,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",2/03/2024,21.4,15.4,18.1,21.4,15.4,18.1,14.7,81.1,0,0,0,rain,0,0,30.2,16.6,354.1,1008.5,77.4,18.5,241.1,20.6,9,10,2024-03-02T07:09:05,2024-03-02T20:08:13,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",3/03/2024,25.2,17.2,20.3,25.2,17.2,20.3,12.9,63.8,0,0,0,,0,0,30.6,31.7,268.3,1004.8,52.6,19.2,242.5,21.1,9,10,2024-03-03T07:10:16,2024-03-03T20:06:38,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",4/03/2024,22.6,12.4,18.2,22.6,12.4,18.2,13.4,75,0.2,100,4.17,rain,0,0,52.2,44.6,4.9,996.2,76.6,14.7,132.4,11.5,8,10,2024-03-04T07:11:26,2024-03-04T20:05:02,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,93546099999
"Nelson, NSN, NZ",5/03/2024,19.2,9.2,13.4,19.2,6.7,13.2,6.6,66.1,5.2,100,12.5,rain,0,0,54,38.9,226.7,1000.2,53.9,18.9,246.6,21.5,9,10,2024-03-05T07:12:35,2024-03-05T20:03:26,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93546099999,7JLP"
"Nelson, NSN, NZ",6/03/2024,18.9,7.1,13.1,18.9,6.3,12.9,7.5,69.9,0,0,0,,0,0,23,22.3,21.6,1018.1,38.8,17.8,269.8,23.5,9,10,2024-03-06T07:13:44,2024-03-06T20:01:49,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",7/03/2024,22.7,10.6,15.9,22.7,10.6,15.9,9.7,68.8,0,0,0,,0,0,39.2,31.7,261.8,1019.1,60.5,18.8,261,22.6,9,10,2024-03-07T07:14:53,2024-03-07T20:00:11,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",8/03/2024,21.6,13.4,18,21.6,13.4,18,11.5,66.4,0,0,0,,0,0,38.5,27.7,9.9,1019,62.8,17.2,246,21.3,9,10,2024-03-08T07:16:02,2024-03-08T19:58:33,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote,7JLP"
"Nelson, NSN, NZ",9/03/2024,22.2,14.1,17.5,22.2,14.1,17.5,9,58.8,0,0,0,,0,0,48.6,35.3,243.5,1023.2,63.3,19.2,236.3,20.6,8,10,2024-03-09T07:17:10,2024-03-09T19:56:55,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",10/03/2024,19.7,13.7,16.9,19.7,13.7,16.9,12,73.4,0,0,0,,0,0,38.5,25.9,354.1,1029.9,83.9,15.8,253.8,21.9,8,10,2024-03-10T07:18:18,2024-03-10T19:55:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
