name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",16/02/2023,21.6,15.6,18.1,21.6,15.6,18.1,14.9,82.1,2,100,8.33,rain,0,0,12.2,20.5,60.9,1005.9,99.1,18.3,101.3,8.7,5,10,2023-02-16T06:51:10,2023-02-16T20:30:07,0.85,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,93546099999
"Nelson, NSN, NZ",17/02/2023,21.6,12.1,17.1,21.6,12.1,17.1,14.1,83.1,0,0,0,rain,0,0,23,33.5,15.7,1012.2,44.7,15.4,298.6,25.8,9,10,2023-02-17T06:52:25,2023-02-17T20:28:44,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",18/02/2023,21.4,16.2,18.7,21.4,16.2,18.7,15.5,81.8,0.2,100,4.17,rain,0,0,17.3,25.9,30.1,1018.5,97.9,16.4,242,21,8,10,2023-02-18T06:53:40,2023-02-18T20:27:21,0.92,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,93546099999
"Nelson, NSN, NZ",19/02/2023,23.9,15.1,20,23.9,15.1,20,15.9,78,0,0,0,,0,0,28.4,25.9,13.2,1020.1,40.8,15,305.6,26.4,9,10,2023-02-19T06:54:54,2023-02-19T20:25:56,0.95,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",20/02/2023,23.2,14.7,19.7,23.2,14.7,19.7,15.1,74.7,0,0,0,,0,0,26.6,22.3,358.9,1023,9.3,16.7,309,26.8,9,10,2023-02-20T06:56:08,2023-02-20T20:24:31,0,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",21/02/2023,26.1,14.7,20.6,26.1,14.7,20.6,15.5,73.9,0,0,0,,0,0,33.5,24.1,13.1,1019.5,12.9,17.9,306.9,26.5,9,10,2023-02-21T06:57:22,2023-02-21T20:23:04,0.02,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",22/02/2023,24.7,15.4,20.8,24.7,15.4,20.8,15.6,72.6,0,0,0,rain,0,0,38.2,33.5,36.1,1012.8,36.5,16.1,241.3,20.9,8,10,2023-02-22T06:58:36,2023-02-22T20:21:36,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,remote"
"Nelson, NSN, NZ",23/02/2023,18.9,12.7,15.6,18.9,12.7,15.6,9.7,69.7,17,100,8.33,rain,0,0,14.4,18.4,175.4,1016.4,97.6,18.8,106,9.1,6,10,2023-02-23T06:59:49,2023-02-23T20:20:08,0.09,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,93546099999
"Nelson, NSN, NZ",24/02/2023,21.2,11.4,16.1,21.2,11.4,16.1,6.6,56,0,0,0,,0,0,34.9,20.5,169,1021.8,98.9,19.6,221.9,19.2,7,10,2023-02-24T07:01:02,2023-02-24T20:18:38,0.12,Overcast,Cloudy skies throughout the day.,cloudy,93546099999
"Nelson, NSN, NZ",25/02/2023,22.2,11.2,16.6,22.2,11.2,16.6,8.3,59.7,0,0,0,rain,0,0,17.3,25.9,162.1,1021.8,95.9,18.3,228.4,19.6,8,10,2023-02-25T07:02:14,2023-02-25T20:17:08,0.15,Overcast,Cloudy skies throughout the day.,cloudy,93546099999
"Nelson, NSN, NZ",26/02/2023,20.7,13.9,17.4,20.7,13.9,17.4,14.3,82.6,14,100,12.5,rain,0,0,19.1,24.1,20.4,1017.8,62.5,16.2,254.8,22,9,10,2023-02-26T07:03:26,2023-02-26T20:15:37,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93546099999,7JLP"
"Nelson, NSN, NZ",27/02/2023,21.2,15.2,17.9,21.2,15.2,17.9,15.1,84,5,100,4.17,rain,0,0,12.6,16.6,15.7,1016.9,60.4,17.8,255.8,22.1,9,10,2023-02-27T07:04:38,2023-02-27T20:14:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,93546099999
"Nelson, NSN, NZ",28/02/2023,21.7,13.4,17.7,21.7,13.4,17.7,14.6,83,2.2,100,8.33,rain,0,0,20.2,24.1,21.8,1014.7,17.2,18.3,287.6,24.8,9,10,2023-02-28T07:05:49,2023-02-28T20:12:32,0.25,Rain,Clear conditions throughout the day with rain.,rain,93546099999
